GRAPH,STARTING_NODE,ENDING_NODE,CLASS,DOCCOUNT
Alphabet Inc,Regeneron Pharmaceuticals Inc,Astrazeneca Plc,Clinical Trial,11
Alphabet Inc,Jp Morgan Chase And Co,Apple Inc,Hacking,22
Alphabet Inc,Tesla Inc,Panasonic Corp,Sanctions,384
Alphabet Inc,Apollo Global Management Llc,Athene Holding Ltd,Anti-Trust Violation,96
Alphabet Inc,Barnes And Noble Inc,Microsoft Corp,Hack,8
Alphabet Inc,Western Digital Corp,Sandisk Corp,Regulatory Investigation,9
Alphabet Inc,Linkedin Corp,Twitter Inc,Sanctions,12
Alphabet Inc,Nasdaq Inc,Soligenix Inc,Clinical Trial,4
Alphabet Inc,Microsoft Corp,Apple Inc,Criminal Investigation,6
Alphabet Inc,Verizon Communications Inc,Under Armour,Ransomware Attack,8
Alphabet Inc,Symantec Corp,Mcafee Inc,Hacking,8
Alphabet Inc,Coca-Cola Company,Coca Cola Bottling Co Consolidated /De/,Hack,36
Alphabet Inc,Pfizer Inc,Portola Pharmaceuticals Inc,Clinical Trial,3
Alphabet Inc,Amazon Com Inc,Fedex Corp,Hack,24
Alphabet Inc,Zynga Inc,Facebook Inc,Cyber Breach,8
Alphabet Inc,Altaba Inc,Microsoft Corp,Criminal Investigation,42
Alphabet Inc,Sinclair Broadcast Group Inc,Nexstar Media Group Inc,Criminal Investigation,3
Alphabet Inc,Amgen Inc,Kyowa Hakko Kirin Co Ltd,Clinical Trial,6
Alphabet Inc,Amazon Com Inc,The Toronto-Dominion Bank,Hacking,30
Alphabet Inc,Jp Morgan Chase And Co,The Toronto-Dominion Bank,Hack,64
Alphabet Inc,Facebook Inc,First American Financial Corp,Ransomware Attack,9
Alphabet Inc,Nasdaq Inc,Aon Plc,Anti-Trust Violation,6
Alphabet Inc,Goldman Sachs Group Inc,Deutsche Bank,Hacking,6
Alphabet Inc,Facebook Inc,Under Armour,Hacking,48
Alphabet Inc,Amazon Com Inc,Vtech Holdings Ltd,Hacking,4
Alphabet Inc,Nasdaq Inc,Akcea Therapeutics Inc,Anti-Trust Violation,4
Alphabet Inc,Nasdaq Inc,Twitter Inc,Hack,8
Alphabet Inc,Capstead Mortgage Corp,Benefit Street Partners Realty Trust Inc,Accounting Fraud,4
Alphabet Inc,Citigroup Inc,Hsbc Holdings Plc,Ddos Attack,3
Alphabet Inc,Sangamo Therapeutics Inc,Biogen Inc,Clinical Trial,5
Alphabet Inc,Atandt Inc,Discovery Comm Inc,Accounting Fraud,20
Alphabet Inc,Amazon Com Inc,Anthem Inc,Ransomware Attack,180
Alphabet Inc,Gilead Sciences Inc,Mylan Nv,Clinical Trial,35
Alphabet Inc,Twitter Inc,Apple Inc,Class-Action Lawsuit,3
Alphabet Inc,Apple Inc,Sprint Corp,Cyber Breach,10
Alphabet Inc,Solarcity Corp,Vivint Solar Inc,Class-Action Lawsuit,8
Alphabet Inc,Verizon Communications Inc,Sprint Corp,Hacking,4
Alphabet Inc,Linkedin Corp,Global Payments Inc,Hack,18
Alphabet Inc,Seattle Genetics Inc,Celgene Corp,Clinical Trial,3
Alphabet Inc,Gilead Sciences Inc,Forty Seven Inc,Anti-Trust Violation,14
Alphabet Inc,Amazon Com Inc,Tesco Plc,Bank Fraud,3
Alphabet Inc,Facebook Inc,Zynga Inc,Sanctions,3
Alphabet Inc,Qep Resources,Diamondback Energy,Accounting Fraud,6
Alphabet Inc,Twitter Inc,Apple Inc,Ddos Attack,6
Alphabet Inc,Nasdaq Inc,Biontech Se,Clinical Trial,34
Alphabet Inc,Microsoft Corp,Sony Corp,Hack,1240
Alphabet Inc,Twitter Inc,Facebook Inc,Hacking,1946
Alphabet Inc,Activision Blizzard,Microsoft Corp,Legal Dispute,10
Alphabet Inc,Anthem Inc,Express Scripts Holding Co,Wire Fraud,80
Alphabet Inc,Twitter Inc,New York Times Co,Hacking,106
Alphabet Inc,Intel Corp,Solarwinds Inc,Ransomware Attack,16
Alphabet Inc,Facebook Inc,New Media Investment Group Inc,Class-Action Lawsuit,10
Alphabet Inc,Regenxbio Inc,Audentes Therapeutics Inc,Clinical Trial,81
Alphabet Inc,Alphabet Inc,Google,Sanctions,1536
Alphabet Inc,Intercontinental Exchange,Tyler Technologies Inc,Hacking,3
Alphabet Inc,Nasdaq Inc,Jazz Pharmaceuticals Plc,Clinical Trial,9
Alphabet Inc,Google,Universal Health Services Inc,Privacy Breach,16
Alphabet Inc,Facebook Inc,Manchester United Ltd,Ransomware Attack,62
Alphabet Inc,Lantheus Holdings,Progenics Pharmaceuticals Inc,Clinical Trial,205
Alphabet Inc,Nasdaq Inc,Exelixis Inc,Clinical Trial,60
Alphabet Inc,Altaba Inc,Marriott International Inc /Md/,Hacking,206
Alphabet Inc,Google,Sony Corp,Ddos Attack,10
Alphabet Inc,Nasdaq Inc,Horizon Pharma Plc,Clinical Trial,15
Alphabet Inc,Twitter Inc,Facebook Inc,Cyber Breach,72
Alphabet Inc,Nasdaq Inc,Intercept Pharmaceuticals Inc,Clinical Trial,8
Alphabet Inc,Ebay Inc,Equifax Inc,Hacking,22
Alphabet Inc,Google,Alphabet Inc,Criminal Investigation,25
Alphabet Inc,Amazon Com Inc,Chase Corp,Bank Fraud,3
Alphabet Inc,Jp Morgan Chase And Co,Chase Corp,Hacking,246
Alphabet Inc,Jp Morgan Chase And Co,Amazon Com Inc,Hacking,75
Alphabet Inc,Jp Morgan Chase And Co,Netflix Inc,Hack,64
Alphabet Inc,Microsoft Corp,Tata Power Co Ltd,Hack,4
Alphabet Inc,Channeladvisor Corp,Commercehub Inc,Corporate Misconduct,14
Alphabet Inc,Elanco Animal Health Inc,Kindred Biosciences,Corporate Misconduct,12
Alphabet Inc,Twitter Inc,New York Times Co,Clinical Trial,4
Alphabet Inc,Symantec Corp,Broadcom Ltd,Regulatory Investigation,8
Alphabet Inc,Chevron Corp,Exxon Mobil Corp,Sanctions,26
Alphabet Inc,Jp Morgan Chase And Co,Google,Hacking,117
Alphabet Inc,Intercontinental Exchange,Insperity Inc,Corporate Misconduct,6
Alphabet Inc,Vereit Inc,Realty Income Corp,Corporate Misconduct,3
Alphabet Inc,Realty Income Corp,Vereit Inc,Corporate Misconduct,6
Alphabet Inc,Alphabet Inc,Amazon Com Inc,Criminal Investigation,3
Alphabet Inc,Intellia Therapeutics Inc,Editas Medicine,Clinical Trial,428
Alphabet Inc,Jazz Pharmaceuticals Plc,Gw Pharmaceuticals,Anti-Trust Violation,6
Alphabet Inc,Synaptics Inc,Dsp Group Inc /De/,Corporate Misconduct,3
Alphabet Inc,Flir Systems Inc,Teledyne Technologies Inc,Anti-Trust Violation,12
Alphabet Inc,Bristol-Myers Squibb Company,Five Prime Therapeutics Inc,Clinical Trial,7
Alphabet Inc,Nasdaq Inc,Gci Liberty Inc,Corporate Misconduct,12
Alphabet Inc,Nasdaq Inc,Commercial Vehicle Group Inc,Corporate Misconduct,10
Alphabet Inc,Gcp (Uk) Holdings Limited,Compagnie De Saint-Gobain Sa,Accounting Fraud,4
Alphabet Inc,Uber Technologies Inc,Lyft Inc,Civil Lawsuit,30
Alphabet Inc,Goodyear Tire And Rubber Co /Oh/,Thomson Reuters Corp,Sanctions,15
Alphabet Inc,Nasdaq Inc,Bridge Bancorp Inc,Anti-Trust Violation,6
Alphabet Inc,Microsoft Corp,Uber Technologies Inc,Cyber Breach,12
Alphabet Inc,Ebay Inc,Apple Inc,Hack,4
Alphabet Inc,Mondelez International Inc,Campbell Soup Company,Sanctions,3
Alphabet Inc,Chase Corp,Jp Morgan Chase And Co,Cyber Breach,60
Alphabet Inc,Nasdaq Inc,Nxt-Id Inc,Sanctions,4
Alphabet Inc,Citrix Systems Inc,Cisco Systems Inc,Ransomware Attack,3
Alphabet Inc,Citigroup Inc,Tribune Media Co,Multidistrict Litigation,4
Alphabet Inc,Nasdaq Inc,Alnylam Pharmaceuticals Inc,Clinical Trial,4
Alphabet Inc,Jp Morgan Chase And Co,New York Times Co,Bank Fraud,13
Alphabet Inc,American Airlines Group Inc,United Continental Holdings,Sanctions,6
Alphabet Inc,Southwest Airlines Company,United Continental Holdings,Sanctions,4
Alphabet Inc,Microsoft Corp,Cyren Ltd,Ransomware Attack,12
Alphabet Inc,Microsoft Corp,Nuance Communications Inc,Sanctions,14
Alphabet Inc,Goldman Sachs Group Inc,Thomson Reuters Corp,Bank Fraud,16
Alphabet Inc,Nasdaq Inc,Hsbc Holdings Plc,Bank Fraud,8
Alphabet Inc,Facebook Inc,Under Armour,Privacy Breach,6
Alphabet Inc,Twitter Inc,Palo Alto Networks Inc,Sanctions,16
Alphabet Inc,Apple Inc,Bank Of America Corp,Hack,46
Alphabet Inc,Centene Corp,Wellcare Health Plans Inc,Anti-Trust Violation,14
Alphabet Inc,Celgene Corp,Agios Pharmaceuticals Inc,Clinical Trial,10
Alphabet Inc,Aytu Bioscience Inc,Innovus Pharmaceuticals Inc,Clinical Trial,32
Alphabet Inc,Amazon Com Inc,Walmart Inc,Wire Fraud,4
Alphabet Inc,Facebook Inc,First American Financial Corp,Hack,22
Alphabet Inc,Jones Lang Lasalle Inc,Hff Inc,Anti-Trust Violation,12
Alphabet Inc,Microsoft Corp,International Business Machines Corp,Anti-Trust Violation,5
Alphabet Inc,Valeant Pharmaceuticals International Inc,Eyenovia Inc,Clinical Trial,4
Alphabet Inc,Lockheed Martin Corp,Aerojet Rocketdyne Holdings,Sanctions,63
Alphabet Inc,Endo International Plc,Biospecifics Technologies Corp,Sanctions,18
Alphabet Inc,General Electric Company,Baker Hughes A Ge Co,Cyber Breach,18
Alphabet Inc,Thomson Reuters Corp,Tata Steel Ltd,Criminal Investigation,4
Alphabet Inc,Discovery Comm Inc,Atandt Inc,Anti-Trust Violation,16
Alphabet Inc,Amazon Com Inc,Nintendo Co Ltd,Ransomware Attack,48
Alphabet Inc,Pfizer Inc,Biohaven Pharmaceutical Holding Company Ltd,Clinical Trial,16
Alphabet Inc,Paypal Holdings,Uber Technologies Inc,Hacking,9
Alphabet Inc,Viasat Inc,Inmarsat Plc,Corporate Misconduct,30
Alphabet Inc,Verizon Communications Inc,Altaba Inc,Wire Fraud,30
Alphabet Inc,Nasdaq Inc,Pfizer Inc,Clinical Trial,47
Alphabet Inc,Altaba Inc,Facebook Inc,Hacking,575
Alphabet Inc,Anthem Inc,Express Scripts Holding Co,Ransomware Attack,536
Alphabet Inc,Linkedin Corp,Twitter Inc,Hack,552
Alphabet Inc,Boeing Company,American Airlines Group Inc,Criminal Investigation,81
Alphabet Inc,Lyft Inc,Uber Technologies Inc,Sanctions,98
Alphabet Inc,Google,Universal Health Services Inc,Hack,10
Alphabet Inc,Nasdaq Inc,Forescout Technologies Inc,Anti-Trust Violation,6
Alphabet Inc,Facebook Inc,Twitter Inc,Hacking,973
Alphabet Inc,Apple Inc,The Walt Disney Co,Hacking,12
Alphabet Inc,Twitter Inc,Microsoft Corp,Hack,745
Alphabet Inc,Twitter Inc,Google,Sanctions,362
Alphabet Inc,Amex Global Holdings Cv,Mastercard Inc,Sanctions,192
Alphabet Inc,Microsoft Corp,Adobe Inc,Ransomware Attack,18
Alphabet Inc,Altaba Inc,Equifax Inc,Hacking,298
Alphabet Inc,Apple Inc,Facebook Inc,Sanctions,200
Alphabet Inc,Uber Technologies Inc,Equifax Inc,Cyber Breach,47
Alphabet Inc,Delphi Technologies Plc,Borgwarner Inc,Accounting Fraud,3
Alphabet Inc,Jp Morgan Chase And Co,Ebay Inc,Hack,168
Alphabet Inc,Facebook Inc,Anthem Inc,Ransomware Attack,277
Alphabet Inc,Twitter Inc,Thomson Reuters Corp,Hack,765
Alphabet Inc,Chase Corp,Jp Morgan Chase And Co,Bank Fraud,76
Alphabet Inc,Capital One Financial Corp,Sony Corp,Hacking,122
Alphabet Inc,Amazon Com Inc,Capital One Financial Corp,Hacking,189
Alphabet Inc,Altaba Inc,Facebook Inc,Ddos Attack,16
Alphabet Inc,Liberty Broadband Corp,Gci Liberty Inc,Corporate Misconduct,55
Alphabet Inc,Pfenex Inc,Jazz Pharmaceuticals Plc,Clinical Trial,36
Alphabet Inc,Nasdaq Inc,Hanmi Financial Cp,Corporate Misconduct,14
Alphabet Inc,Inphi Corp,Marvell Technology Group Ltd,Corporate Misconduct,6
Alphabet Inc,Bank Of America Corp,Danske Bank,Ransomware Attack,8
Alphabet Inc,Verizon Communications Inc,Facebook Inc,Hacking,85
Alphabet Inc,Corbus Pharmaceuticals Holdings Inc,Determine Inc,Clinical Trial,4
Alphabet Inc,Intel Corp,Advanced Micro Devices Inc,Hack,38
Alphabet Inc,Boeing Company,Delta Air Lines Inc,Sanctions,6
Alphabet Inc,Intercontinental Exchange,First American Financial Corp,Hack,6
Alphabet Inc,Amazon Com Inc,Jp Morgan Chase And Co,Bank Fraud,9
Alphabet Inc,Jp Morgan Chase And Co,Chase Corp,Wire Fraud,18
Alphabet Inc,Amazon Com Inc,Jp Morgan Chase And Co,Ransomware Attack,6
Alphabet Inc,Netflix Inc,Twitter Inc,Ransomware Attack,3
Alphabet Inc,Wells Fargo And Company,Performance Food Group Co,Regulatory Investigation,3
Alphabet Inc,Global Payments Inc,Total System Services Inc,Accounting Fraud,33
Alphabet Inc,Facebook Inc,Google,Anti-Trust Violation,16
Alphabet Inc,Abbvie Inc,Imab,Clinical Trial,762
Alphabet Inc,Nasdaq Inc,Compugen Ltd,Clinical Trial,8
Alphabet Inc,Navistar International Corp,Volkswagen Truck And Bus Gmbh,Corporate Misconduct,25
Alphabet Inc,Twitter Inc,Fireeye Inc,Sanctions,19
Alphabet Inc,Federal Home Loan Mortgage Corp,Federal National Mortgage Association,Accounting Fraud,3
Alphabet Inc,Twitter Inc,Alphabet Inc,Sanctions,120
Alphabet Inc,Altra Industrial Motion Corp,Regal Beloit Corp,Corporate Misconduct,54
Alphabet Inc,Exxon Mobil Corp,Petrochina Company Limited,Sanctions,10
Alphabet Inc,Google,Alphabet Inc,Cyber Breach,12
Alphabet Inc,Twitter Inc,Linkedin Corp,Sanctions,18
Alphabet Inc,Dowdupont Inc,Chemours Co,Legal Dispute,3
Alphabet Inc,Nike Inc,Dell Inc,Sanctions,60
Alphabet Inc,Advanced Micro Devices Inc,Hp Inc,Sanctions,6
Alphabet Inc,Nasdaq Inc,Growgeneration Corp,Corporate Misconduct,6
Alphabet Inc,Google,Northrop Grumman Corp,Ddos Attack,6
Alphabet Inc,American Eagle Outfitters Inc,Aerie Pharmaceuticals Inc,Clinical Trial,52
Alphabet Inc,Nasdaq Inc,Facebook Inc,Hack,20
Alphabet Inc,Bgc Partners Inc,Gfi Group Inc,Sanctions,19
Alphabet Inc,Linkedin Corp,Adobe Inc,Hack,42
Alphabet Inc,Nasdaq Inc,Comtech Telecommunications Corp /De/,Accounting Fraud,6
