GRAPH,NODE DISTANCE,Node,DATE,CLASS,THEMES,P_VALUE,DOCSENTIMENT,SENTIMENT,FINANCIALSENTIMENT,IMPACT,SALIENCY_V1,CONFIDENCE
Morgan Stanley International Holdings Inc,3,Microsoft Corp,3/25/22,Breach,"
  Cyber Security,
  Cyber Crime
",0.058824,0.050362963,-0.277762204,,0.679614305,0.836536884,0.578987169
Coca-Cola Company,2,The Toronto-Dominion Bank,2/11/22,Arrest,"
  Robbery
",0.235294,-0.253179997,-0.248207554,,0.805138111,0.887587428,0.590422148
Microsoft Corp,2,F5 Networks Inc,2/24/22,Disruption,"
  Earnings
",0.294118,0.141121566,-0.008984066,0.406579018,0.780653477,0.887570858,0.576515373
Goldman Sachs Group Inc,1,Credit Suisse Group,2/27/22,Fraud,"
  Drugs,
  Banking,
  Money Laundering
",0,-0.068343476,-0.224099576,0,0.820851326,0.749641538,0.510741702
Alphabet Inc,3,Mckesson Corp,2/2/22,Litigation,"
  Lawsuit
",0.058824,0.01069,-0.124562643,,0.660658419,0.857133031,0.420035283
Alphabet Inc,3,Us Bancorp,2/7/22,Money Laundering,"
  Merger and Acquisition
",0.117647,0.098163635,0,,0.609200418,0.849327207,0.585501467
Morgan Stanley International Holdings Inc,2,Sprint Corp,4/1/22,Dispute,"
  Lawsuit
",0.033333,0.120967649,-0.221900016,,0.772683382,0.740478337,0.52456045
Goldman Sachs Group Inc,1,Reata Pharmaceuticals Inc,2/1/22,Litigation,"
  Lawsuit
",0.294118,0.099950001,-0.117272139,0,0.615438819,0.633346021,0.575094384
Alphabet Inc,2,Bank Of America Corp,1/23/22,Investigation,"
  SASB Materials Sourcing & Efficiency,
  Supply Chain
",0.294118,0.042220835,-0.129631415,0,0.732866049,0.660976768,0.595242141
Alphabet Inc,1,Yandex Nv,3/16/22,Manipulation,"
  Sanctions
",0,-0.116180003,-0.090942539,-0.234922901,0.746062815,0.972903728,0.540194948
Goldman Sachs Group Inc,2,Amerisourcebergen Corp,3/9/22,Disruption,"
  Merger and Acquisition,
  Coronavirus
",0.235294,0.113424487,-0.168373689,-0.244071007,0.890244842,0.877067029,0.605240322
Goldman Sachs Group Inc,3,Energy Transfer Lp  1,1/21/22,Dispute,"
  Oil
",0.176471,-0.036717646,-0.198082075,-0.886348188,0.92018503,0.902976096,0.581418491
Alphabet Inc,3,Corelogic,1/26/22,Fraud,"
  Fraud
",0.117647,-0.385147363,0.091810122,0,0.761450112,0.807551444,0.496525015
Coca-Cola Company,1,Nestle Sa Cham Et Ve,3/17/22,Sanctions,"
  SASB Critical Incident Risk Management
",0.235294,-0.041317582,0.259193301,,0.743892074,0.597430468,0.5307111
Microsoft Corp,1,Dell Inc,3/4/22,Sanctions,"
  Sanctions
",0.235294,-0.213416666,-0.342479408,,0.667101145,0.892880201,0.593341671
Goldman Sachs Group Inc,1,Bright Health Inc,3/6/22,Litigation,"
  IPO ICO,
  Earnings
",0.117647,0.090793617,0.015579022,-0.482540131,0.826883674,0.887842178,0.923293825
Morgan Stanley International Holdings Inc,2,Barclays Plc,3/6/22,Arrest,"
  Banking
",0.117647,-0.049670834,-0.029689614,-0.469894052,0.653419018,0.698049128,0.51024852
Microsoft Corp,3,Sunpower Corp,3/1/22,Litigation,"
  Merger and Acquisition,
  Lawsuit
",0.058824,-0.038130768,-0.04880346,-0.639390826,0.716428041,0.774166048,0.601157266
Pepsico Inc,1,Twitter Inc,1/9/22,Protest,"
  Government
",0,-0.134311661,-0.329899669,,0.761677444,0.614473403,0.593775471
Coca-Cola Company,2,Visa Inc,1/14/22,Investigation,"
  Military,
  Education,
  Coronavirus,
  Sanctions,
  Harassment
",0.294118,-0.025165672,-0.361014724,,0.733259201,0.631483614,0.549079769
Goldman Sachs Group Inc,1,Baidu Inc,1/13/22,Investigation,"
  Banking
",0.117647,-0.104522221,-0.188314363,-0.478743583,0.759725571,0.762659729,0.512302636
Alphabet Inc,1,Altaba Inc,3/11/22,Dispute,"
  System Disruption
",0.058824,0.076939926,0.003752148,,0.665952802,0.672114968,0.552911492
Alphabet Inc,1,Twitter Inc,1/9/22,Protest,"
  Government
",0,-0.134311661,-0.329899669,,0.761677444,0.614473403,0.593775471
Coca-Cola Company,1,Moodys Corp /De/,1/12/22,Downgrade,"
  Merger and Acquisition,
  Liquidity,
  Credit Change,
  Analyst Downgrade
",0.235294,0.162949994,-0.300514758,0.000954459,0.713996947,0.628096759,0.776636458
Goldman Sachs Group Inc,2,Moodys Corp /De/,1/12/22,Downgrade,"
  Merger and Acquisition,
  Liquidity,
  Credit Change,
  Analyst Downgrade
",0.235294,0.162949994,-0.300514758,0.000954459,0.713996947,0.628096759,0.776636458
Microsoft Corp,2,Barclays Plc,3/26/22,Fraud,"
  Banking,
  Robbery
",0.166667,-0.19204545,0.043017346,,0.725235999,0.820456564,0.501063852
Pepsico Inc,3,Mastercard Inc,3/6/22,International Sanction,"
  Banking
",0.058824,-0.075858064,-0.07605093,,0.701047719,0.920054853,0.501428497
Microsoft Corp,2,Ebay Inc,3/10/22,Investigation,"
  e-Commerce
",0.117647,-0.066964999,-0.084357232,,0.731387019,0.587721467,0.520303794
Goldman Sachs Group Inc,1,Bright Health Inc,1/10/22,Investigation,"
  Blockchain,
  Coronavirus,
  Earnings,
  Cybercurrency,
  IPO ICO
",0,0.256354153,-0.069131196,-0.568814993,0.665601134,0.951121688,0.938094008
Pepsico Inc,2,Nasdaq Inc,1/22/22,Removal,"
  Economic Activity,
  Earnings,
  Federal Reserve Action
",0.235294,0.007687395,0.057788882,-0.369532287,0.676282942,0.689462483,0.535571368
Goldman Sachs Group Inc,3,Pacific Gas And Electric Co,3/13/22,Bankruptcy,"
  Natural Disaster
",0.058824,-0.059793752,0.094959676,,0.585495055,0.712104321,0.493942186
Alphabet Inc,3,Sunpower Corp,1/27/22,Disruption,"
  Coronavirus
",0.058824,0.206478119,0.442388952,0.534348249,0.774099231,0.942683995,0.598863163
Coca-Cola Company,2,Facebook Inc,2/10/22,Sanctions,"
  Blockchain,
  Cybercurrency
",0.058824,-0.265665531,-0.287951708,,0.762299955,0.694441259,0.506264357
Microsoft Corp,2,Solarwinds Inc,1/17/22,Hack,"
  Presidential Transition,
  Cyber Crime,
  Cyber Security,
  Government
",0.117647,0.083965153,-0.071351849,0.574044645,0.658807874,0.784400761,0.423432603
Coca-Cola Company,2,The Toronto-Dominion Bank,3/4/22,Disruption,"
  Banking,
  Merger and Acquisition
",0.294118,0.151094452,-0.138772666,-0.843865931,0.605920553,0.813695908,0.505569487
Morgan Stanley International Holdings Inc,2,Moodys Corp /De/,1/17/22,Downgrade,"
  Liquidity,
  Banking,
  Default,
  Credit Change,
  Payment Default
",0.294118,0.137119994,-0.336849391,0,0.693579376,0.621126056,0.776622733
Goldman Sachs Group Inc,1,Robinhood Markets Inc,1/29/22,Investigation,"
  Cyber Security,
  Lawsuit,
  Banking,
  Government
",0.117647,0.00962381,-0.140915975,-0.580022871,0.765191197,0.958998442,0.5760785
Pepsico Inc,1,Goldman Sachs Group Inc,3/13/22,Litigation,"
  Bribery,
  Banking
",0.058824,-0.091993973,-0.005072664,,0.830953002,0.804813087,0.510826151
Coca-Cola Company,2,Alphabet Inc,2/27/22,Sanctions,"
  Gov and Politics,
  Government
",0.235294,-0.174274996,-0.033672996,,0.601958096,0.517817557,0.468595115
Alphabet Inc,2,Symantec Corp,1/13/22,Investigation,"
  Merger and Acquisition
",0,0.128515095,0.218659908,,0.536995709,0.650466025,0.581044836
Morgan Stanley International Holdings Inc,1,Sandp Global Inc,2/18/22,Investigation,"
  Gov and Politics,
  Merger and Acquisition,
  Joint Venture / Parthership
",0.117647,0.266394347,-0.173281968,0,0.54086107,0.603488743,0.597267348
Goldman Sachs Group Inc,1,Contextlogic Inc,2/10/22,Reorganization,"
  Merger and Acquisition
",0,0.193880767,0.004407634,-0.217695996,0.670717835,0.909321249,0.600808212
Goldman Sachs Group Inc,2,Apple Inc,3/21/22,Fraud,"
  Money Laundering,
  Supply Chain
",0,-0.270556659,-0.104060449,,0.83379209,0.850359142,0.596932238
Alphabet Inc,1,Apple Inc,3/21/22,Investigation,"
  Money Laundering,
  Supply Chain
",0,-0.270556659,-0.104060449,,0.83379209,0.850359142,0.596932238
Alphabet Inc,2,Apple Inc,3/21/22,Investigation,"
  Money Laundering,
  Supply Chain
",0,-0.270556659,-0.104060449,,0.83379209,0.850359142,0.596932238
Goldman Sachs Group Inc,2,Grubhub Inc,3/22/22,Breach,"
  Coronavirus
",0.058824,-0.04326129,-0.248420715,,0.904877722,0.943034232,0.469950846
Morgan Stanley International Holdings Inc,1,Bank Of America Corp,1/29/22,Disruption,"
  Economic Activity
",0.176471,0.092016667,-0.219267607,-0.961566985,0.774263442,0.977873206,0.600787037
Goldman Sachs Group Inc,1,Sea Ltd,2/28/22,Investigation,"
  e-Commerce
",0.176471,0.124604762,-0.271891475,-0.616487801,0.755900562,0.970264316,0.595594761
Microsoft Corp,2,Bank Of America Corp,1/29/22,Disruption,"
  Economic Activity
",0.176471,0.092016667,-0.219267607,-0.961566985,0.774263442,0.977873206,0.600787037
Pepsico Inc,2,Nasdaq Inc,1/22/22,Removal,"
  Federal Reserve Action,
  Earnings,
  Economic Activity
",0.176471,0.002910619,0.057788882,-0.369532287,0.659429669,0.693528056,0.538819283
Microsoft Corp,1,Bank Of New York Mellon Corp,1/13/22,Litigation,"
  Earnings,
  Banking,
  Cybercurrency,
  Blockchain
",0.117647,0.215601727,0.135574996,,0.724662066,0.789097428,0.50860238
Alphabet Inc,1,Illumina Inc,3/18/22,Investigation,"
  Coronavirus
",0.117647,0.164910644,-0.471421182,-0.700053751,0.812958181,0.749688923,0.473168654
Pepsico Inc,2,Bnp Paribas,3/21/22,Sanctions,"
  Coronavirus,
  Federal Reserve Action,
  Economic Activity,
  Banking
",0.176471,-0.180723071,-0.181374207,,0.714465261,0.969655991,0.506329418
Goldman Sachs Group Inc,2,Moodys Corp /De/,1/19/22,Disruption,"
  Merger and Acquisition,
  Credit Change,
  Earnings
",0.235294,0.193997532,-0.344965547,-0.020023974,0.748612344,0.61120671,0.776636458
Microsoft Corp,3,Sunpower Corp,2/20/22,Corporate Fraud,"
  Fraud
",0,-0.050289743,-0.119306095,-0.348112971,0.84783262,0.914891958,0.601586968
Goldman Sachs Group Inc,3,Home Depot Inc,2/5/22,Investigation,"
  Banking,
  Fraud,
  Blockchain,
  Violent Action,
  Drugs,
  Cybercurrency
",0.294118,-0.324523091,-0.072584502,,0.846690416,0.88477093,0.498233533
Coca-Cola Company,2,Home Depot Inc,2/5/22,Arrest,"
  Banking,
  Fraud,
  Blockchain,
  Violent Action,
  Drugs,
  Cybercurrency
",0.294118,-0.324523091,-0.072584502,,0.846690416,0.88477093,0.498233533
Alphabet Inc,1,Facebook Inc,1/19/22,Data Breach,"
  Merger and Acquisition,
  Cyber Crime,
  Artificial Intelligence,
  Blockchain,
  Cyber Security,
  Gov and Politics,
  Cybercurrency
",0.058824,-0.049484823,-0.270325333,,0.815252542,0.748196363,0.572620802
Pepsico Inc,3,Anthem Inc,3/26/22,Litigation,"
  Merger and Acquisition,
  Health and Medicine
",0.033333,0.151492238,-0.000882629,0,0.728761673,0.515129387,0.503559893
Microsoft Corp,2,Dell Inc,3/7/22,Ransomware Attack,"
  SASB Business Ethics
",0.294118,0.267568976,-0.215565637,0.592297852,0.747541785,0.708354354,0.398970474
Pepsico Inc,1,Kellogg Company,2/24/22,Investigation,"
  Gov and Politics,
  Employee Relations,
  SASB Labor Practices,
  Worker Strike
",0.117647,0.118584372,0,,0.926034987,0.82079643,0.48514005
Goldman Sachs Group Inc,1,Reata Pharmaceuticals Inc,1/2/22,Litigation,"
  Lawsuit
",0.058824,0.130862504,-0.06003201,0,0.791384637,0.773204505,0.593332001
Morgan Stanley International Holdings Inc,1,Federal Home Loan Mortgage Corp,1/24/22,Litigation,"
  Merger and Acquisition,
  Lawsuit
",0.058824,0.128625587,-0.088174306,,0.641884506,0.871606886,0.505791038
Microsoft Corp,1,Nuance Communications Inc,1/25/22,Fraud,"
  Blockchain,
  Aviation,
  Supply Chain,
  Cybercurrency,
  Merger and Acquisition
",0.117647,0.172512993,0.085830547,,0.563076675,0.613405347,0.724091097
Coca-Cola Company,1,Deutsche Bank,1/27/22,Wire Fraud,"
  Fraud,
  Banking
",0.294118,0.099111997,-0.216015443,,0.882497489,0.958899081,0.511031246
Goldman Sachs Group Inc,1,Credit Suisse Group,3/6/22,Investigation,"
  Money Laundering,
  Banking
",0.058824,0.063319869,-0.158366263,0,0.935788751,0.783977807,0.50933451
Goldman Sachs Group Inc,1,Credit Suisse Group,3/6/22,Tax Evasion,"
  Money Laundering,
  Banking
",0.058824,0.063319869,-0.158366263,0,0.935788751,0.783977807,0.50933451
Goldman Sachs Group Inc,1,Snap Inc,1/1/22,Corporate Misconduct,"
  Fraud
",0.058824,-0.016321622,0.043373969,0,0.763879359,0.811219335,0.6089709
Morgan Stanley International Holdings Inc,3,Anthem Inc,2/1/22,Dispute,"
  Lawsuit,
  Cancer
",0.294118,-0.000394643,-0.034802996,,0.790782094,0.866583824,0.495185884
Morgan Stanley International Holdings Inc,3,Sap Se,3/30/22,Disruption,"
  SASB Materials Sourcing & Efficiency,
  Artificial Intelligence,
  Merger and Acquisition,
  Supply Chain
",0.2,0.37163946,0.123916581,0.591466367,0.773770809,0.874724209,0.509289933
Morgan Stanley International Holdings Inc,1,Moodys Corp /De/,1/11/22,Fraud,"
  Supply Chain,
  Credit Change,
  SASB Materials Sourcing & Efficiency
",0.176471,0.133699998,-0.297821641,0.078553766,0.664494395,0.55309087,0.76375787
Coca-Cola Company,1,Diageo Plc,1/30/22,Disruption,"
  Joint Venture / Parthership
",0.235294,0.104699999,0.307213455,,0.765695035,0.804871261,0.578793495
Pepsico Inc,2,Standard Bank Group Ltd,1/6/22,Investigation,"
  Banking
",0.117647,0.098447219,-0.063792452,0.212708071,0.660039842,0.575560391,0.600701763
Pepsico Inc,1,Barclays Plc,1/2/22,Breach,"
  Banking
",0.294118,0.112313636,-0.188721851,-0.925470114,0.771533549,0.663546324,0.60089973
Morgan Stanley International Holdings Inc,3,Contl Ag Bearer Shs,4/1/22,Dispute,"
  Automotive Industry
",0.2,-0.04131842,-0.277626336,,0.64741689,0.634858608,0.45125291
Goldman Sachs Group Inc,1,Robinhood Markets Inc,1/2/22,Data Breach,"
  IPO ICO
",0.058824,0.133357897,-0.248334646,-0.719491065,0.862424016,0.985902309,0.572403923
Goldman Sachs Group Inc,1,Fair Isaac Corp,1/16/22,Fraud,"
  Corporate Relocation
",0.058824,0.224176928,0.227695823,0,0.791834652,0.970676661,0.556071382
Coca-Cola Company,1,Diageo Plc,3/3/22,Removal,"
  Supply Chain,
  SASB Materials Sourcing & Efficiency
",0.117647,0.01499,-0.205438226,,0.774262607,0.87603265,0.448684013
Microsoft Corp,3,Bristol-Myers Squibb Company,1/10/22,Clinical Trial,"
  Cancer
",0.235294,0.032974999,0.377312064,,0.640405059,0.853172302,0.590591906
Pepsico Inc,1,Moodys Corp /De/,2/4/22,Interruption,"
  Sanctions,
  Credit Change,
  Economic Activity,
  Natural Disaster,
  Debt Offering,
  Analyst Downgrade,
  SASB Ecological Impacts,
  Government,
  Economy
",0.176471,0.0408419,-0.368588388,-0.116031066,0.750927806,0.617561519,0.776636458
Morgan Stanley International Holdings Inc,1,Moodys Corp /De/,1/13/22,Interruption,"
  Default,
  Liquidity,
  Credit Change,
  Analyst Downgrade,
  Bankruptcy
",0.235294,0.18383567,-0.301782936,0,0.686714172,0.630823493,0.776717648
Pepsico Inc,1,Moodys Corp /De/,1/13/22,Interruption,"
  Default,
  Liquidity,
  Credit Change,
  Analyst Downgrade,
  Bankruptcy
",0.235294,0.18383567,-0.301782936,0,0.686714172,0.630823493,0.776717648
Morgan Stanley International Holdings Inc,2,Barclays Plc,1/2/22,Corporate Misconduct,"
  Banking
",0.294118,0.112313636,-0.188721851,-0.925470114,0.771533549,0.663546324,0.60089973
Pepsico Inc,1,Deutsche Bank,1/27/22,Manipulation,"
  Banking
",0.176471,0.016254546,-0.168800682,,0.82399404,0.818733513,0.511148053
Microsoft Corp,3,Assured Guaranty Ltd,3/16/22,Bankruptcy,"
  Debt Offering
",0,0.406804174,-0.032763273,0,0.640512943,0.7235021,0.66340774
Alphabet Inc,1,Abbvie Inc,3/10/22,Litigation,"
  Coronavirus
",0.117647,0.076134592,0.195808783,0,0.838339984,0.714779019,0.517935389
Alphabet Inc,1,Abbvie Inc,1/16/22,Clinical Trial,"
  Dividend
",0.117647,0.206829578,0.13976939,0.469751745,0.750763416,0.566082954,0.515247192
Microsoft Corp,1,Mcafee Inc,3/10/22,Investigation,"
  Coronavirus,
  SASB Materials Sourcing & Efficiency,
  Supply Chain
",0,0.28224808,0.405931503,,0.709472001,0.638274133,0.588043757
Microsoft Corp,1,Federal National Mortgage Association,1/15/22,Litigation,"
  Default
",0.058824,0.219264999,0.289390087,0.702011287,0.642879426,0.852209687,0.497000102
Goldman Sachs Group Inc,2,Amerisourcebergen Corp,1/7/22,Investigation,"
  Lawsuit
",0,0.075582497,0.265457958,,0.569288433,0.654326856,0.599298833
Morgan Stanley International Holdings Inc,2,Enbridge Inc,1/21/22,Breach,"
  SASB Business Ethics,
  Clean Water,
  Cyber Crime
",0.117647,-0.09234,-0.228634715,,0.887884438,0.877721965,0.428714767
Pepsico Inc,2,Google,2/11/22,Investigation,"
  SASB Competitive Behavior
",0.058824,0.083071426,-0.081475757,,0.921955168,0.985551,0.505407498
