"INITCAP(REGEXP_REPLACE(GRAPH, '_', ' '))",NODE_DISTANCE,"INITCAP(REGEXP_REPLACE(STARTING_NODE, '_', ' '))","INITCAP(REGEXP_REPLACE(ENDING_NODE, '_', ' '))",ARRAY_AGG(INITCAP(IEVENT)),ROUND(AVG(INTENSITY))
Alphabet Inc,3,Inseego Corp,Rbb Bancorp,"[
  ""Litigation""
]",36
Alphabet Inc,3,Hewlett Packard Enterprise Comp,Eca Marcellus Trust I,"[
  ""Sanctions""
]",1611
Microsoft Corp,3,Enterprise Products Partners L P,Wood Group John Plc,"[
  ""Breach"",
  ""Breach Of Contract""
]",5678
Alphabet Inc,3,Intercontinental Exchange,58com Inc,"[
  ""Breach""
]",6105
Coca-Cola Company,3,Luckin Coffee Inc,Iqiyi Inc,"[
  ""Fraud""
]",13104
Alphabet Inc,3,Mvc Capital Inc,Equus Total Return Inc,"[
  ""Reorganization""
]",5
Alphabet Inc,3,Atlas,Yes Bank Limited,"[
  ""Manipulation""
]",13070
Alphabet Inc,3,Atyr Pharma Inc,Enzo Biochem Inc,"[
  ""Litigation""
]",18
Alphabet Inc,3,United Continental Holdings,American Airlines Group Inc,"[
  ""Litigation""
]",248780
Coca-Cola Company,3,Taubman Centers,Westfield Group,"[
  ""Breach"",
  ""Breach""
]",395
Pepsico Inc,2,Nasdaq Inc,Taiwan Semiconductor Manufacturing,"[
  ""Dispute""
]",1
Pepsico Inc,3,New York And Company,Stein Mart Inc,"[
  ""Bankruptcy""
]",1130
Pepsico Inc,3,Thomson Reuters Corp,China Communications Construction Co Ltd,"[
  ""Sanctions""
]",7296
Microsoft Corp,3,Tredegar Corp,Physicians Realty Trust,"[
  ""Investigation""
]",3942
Microsoft Corp,2,Apple Inc,Alphabet Inc,"[
  ""Breach""
]",4145
Pepsico Inc,2,Walmart Inc,Tesla Inc,"[
  ""Breach Of Contract""
]",1
Microsoft Corp,3,Nasdaq Inc,Atossa Therapeutics Inc,"[
  ""Clinical Trial""
]",630
Coca-Cola Company,3,Thomson Reuters Corp,China Communications Construction Co Ltd,"[
  ""Sanctions""
]",7296
Alphabet Inc,2,Intercontinental Exchange,Eastman Chemical Company,"[
  ""Breach""
]",1
Pepsico Inc,3,Tronox Holdings Plc,Eramet Group,"[
  ""Investigation""
]",150
Alphabet Inc,2,Nasdaq Inc,Information Services Group Inc,"[
  ""Breach""
]",1
Jp Morgan Chase And Co,3,Quanta Services Inc,Tns Inc,"[
  ""Breach Of Contract""
]",325
Jp Morgan Chase And Co,3,Citigroup Inc,China Evergrande Group,"[
  ""Protest""
]",740
Pepsico Inc,3,Gilead Sciences Inc,Hookipa Pharma Inc,"[
  ""Clinical Trial""
]",346
Microsoft Corp,3,Sabre Corp,Frontier Airlines Inc /Co/,"[
  ""Bankruptcy Protection""
]",1512
Alphabet Inc,2,Nasdaq Inc,Goldman Sachs Group Inc,"[
  ""Investigation""
]",18433
Jp Morgan Chase And Co,3,Adobe Inc,Best Buy Co Inc,"[
  ""Disruption""
]",355192
Jp Morgan Chase And Co,3,Nvidia Corp,Nrg Energy,"[
  ""Investigation""
]",75445
Goldman Sachs Group Inc,3,Atyr Pharma Inc,Enzo Biochem Inc,"[
  ""Litigation""
]",72
Morgan Stanley International Holdings Inc,3,Fiserv Inc,Bae Systems Plc,"[
  ""Fraud""
]",9660
Goldman Sachs Group Inc,3,Xilinx Inc,Zte Corp,"[
  ""Sanctions""
]",5652
Morgan Stanley International Holdings Inc,2,Moodys Corp /De/,Gnc Holdings Inc,"[
  ""Store Closure""
]",1
Goldman Sachs Group Inc,3,Fibrogen Inc,3sbio Inc,"[
  ""Clinical Trial""
]",200
Goldman Sachs Group Inc,3,Alexion Pharmaceuticals Inc,Ucp Inc,"[
  ""Bankruptcy""
]",11884
Jp Morgan Chase And Co,3,Advanced Micro Devices Inc,Kodiak Sciences Inc,"[
  ""Clinical Trial""
]",131
Pepsico Inc,3,Atlas,Volkswagen Ag,"[
  ""Research""
]",3801248
Microsoft Corp,3,Novartis Ag,Aduro Biotech,"[
  ""Clinical Trial""
]",4695
Microsoft Corp,3,Luckin Coffee Inc,Iqiyi Inc,"[
  ""Fraud""
]",15246
Jp Morgan Chase And Co,3,Airbus,Republic Airways Holdings Inc,"[
  ""Bankruptcy""
]",206
Alphabet Inc,3,Mirati Therapeutics,Bristol-Myers Squibb Company,"[
  ""Clinical Trial""
]",1097404
Jp Morgan Chase And Co,3,Hanesbrands Inc,Levi Strauss And Co,"[
  ""Litigation""
]",30
Microsoft Corp,3,Hms Holdings Corp,Molina Healthcare Inc,"[
  ""Removal""
]",60
Morgan Stanley International Holdings Inc,3,Softbank Group Corp,Wirecard Ag,"[
  ""Fraud""
]",4032
Goldman Sachs Group Inc,3,Pgande Corp,Clearway Energy Inc,"[
  ""Bankruptcy""
]",82458
Morgan Stanley International Holdings Inc,3,On Semiconductor Corp,Power Integrations Inc,"[
  ""Litigation""
]",150
Morgan Stanley International Holdings Inc,3,Alnylam Pharmaceuticals Inc,Dicerna Pharmaceuticals Inc,"[
  ""Litigation""
]",225
Morgan Stanley International Holdings Inc,3,Ubs Group Ag,Nymox Pharmaceutical Corp,"[
  ""Research""
]",636
Goldman Sachs Group Inc,3,Kalvista Pharmaceuticals Inc,Haemonetics Corp,"[
  ""Clinical Trial""
]",11048
Jp Morgan Chase And Co,3,Sandridge Energy Inc,Sandridge Mississippian Trust I,"[
  ""Investigation""
]",120
Jp Morgan Chase And Co,3,Pultegroup Inc/Mi/,Centex Llc,"[
  ""Breach""
]",1090
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Mcdermott Inc,"[
  ""Reorganization""
]",1
Goldman Sachs Group Inc,3,One Liberty Properties Inc,Tuesday Morning Corp/De,"[
  ""Bankruptcy""
]",56
Morgan Stanley International Holdings Inc,3,Atlas,Yes Bank Limited,"[
  ""Manipulation""
]",14280
Goldman Sachs Group Inc,2,Uber Technologies Inc,Allstate Corp,"[
  ""Bankruptcy""
]",1
Goldman Sachs Group Inc,3,Snap Inc,Alphabet Inc,"[
  ""Interruption""
]",3484964
Morgan Stanley International Holdings Inc,3,Simon Property Group Inc /De/,Cedar Realty Trust Inc,"[
  ""Bankruptcy""
]",144
Jp Morgan Chase And Co,3,Williams Companies Inc,Wpx Energy Inc,"[
  ""Manipulation""
]",12576
Goldman Sachs Group Inc,3,Southern Company,Georgia Power Co,"[
  ""Regulatory Investigation""
]",11820
Goldman Sachs Group Inc,3,Qualcomm Inc/De,Fih Mobile Ltd,"[
  ""Breach"",
  ""Breach"",
  ""Breach""
]",2053
Morgan Stanley International Holdings Inc,3,Home Depot Inc,Sherwin-Williams Company,"[
  ""Disruption""
]",10920
Morgan Stanley International Holdings Inc,3,Simon Property Group Inc /De/,Ramco-Gershenson Properties Trust,"[
  ""Bankruptcy""
]",312
Coca-Cola Company,3,Bank Of America Corp,Boohoocom Plc,"[
  ""Investigation""
]",4320
Coca-Cola Company,2,Intercontinental Exchange,Chesapeake Energy Corp,"[
  ""Bankruptcy Protection""
]",1
Coca-Cola Company,2,Bank Of America Corp,Assured Guaranty Ltd,"[
  ""Fraud""
]",245280
Coca-Cola Company,3,Pacific Gas And Electric Co,Sed International Holdings Inc,"[
  ""Investigation""
]",236410
Coca-Cola Company,3,Dxc Technology Company,Kemper Corp,"[
  ""Breach Of Contract""
]",14454
Coca-Cola Company,3,Nanoviricides Inc,Biocryst Pharmaceuticals Inc,"[
  ""Clinical Trial""
]",92
Coca-Cola Company,3,Apple Inc,Larsen And Toubro Ltd,"[
  ""Investigation""
]",518
Coca-Cola Company,2,Ca Inc,Gorman-Rupp Company,"[
  ""Fraud""
]",16
Pepsico Inc,3,Ideaya Biosciences Inc,Novartis Ag,"[
  ""Clinical Trial""
]",263568
Pepsico Inc,2,Bank Of New York Mellon Corp,Goodyear Tire And Rubber Co /Oh/,"[
  ""Investigation""
]",1404
Microsoft Corp,2,Nasdaq Inc,Regenxbio Inc,"[
  ""Clinical Trial""
]",1
Alphabet Inc,3,Mosys Inc,Dextera Surgical Inc,"[
  ""Reorganization""
]",10
Alphabet Inc,2,Nasdaq Inc,Liberty Broadband Corp,"[
  ""Breach""
]",1
Alphabet Inc,3,Sony Corp,Crowdstrike Holdings Inc,"[
  ""Breach""
]",16280
Pepsico Inc,3,Restorbio Inc,Novartis Ag,"[
  ""Research""
]",91008
Alphabet Inc,3,Agios Pharmaceuticals Inc,Global Blood Therapeutics Inc,"[
  ""Clinical Trial""
]",1540
Alphabet Inc,3,Restorbio Inc,Unity Biotechnology Inc,"[
  ""Clinical Trial""
]",3485
Microsoft Corp,3,Regenxbio Inc,Clearside Biomedical Inc,"[
  ""Clinical Trial""
]",208
Microsoft Corp,3,Cohen And Steers Inc,Cohen And Steers Infrastructure Fund,"[
  ""Reorganization""
]",730
Coca-Cola Company,2,Goldman Sachs Group Inc,Luckin Coffee Inc,"[
  ""Fraud""
]",1
Pepsico Inc,3,Energy Fuels Inc,Paladin Energy Corp,"[
  ""Removal""
]",1100
Pepsico Inc,3,Caredx Inc,Diadexus Inc,"[
  ""Bankruptcy""
]",24
Pepsico Inc,3,Barclays Plc,Eidos Therapeutics Inc,"[
  ""Clinical Trial""
]",204
Pepsico Inc,3,Mplx Lp,Factset Research Systems Inc,"[
  ""Store Closure""
]",301100
Microsoft Corp,3,Teradata Corp,Flex Ltd,"[
  ""Disruption""
]",2204
Microsoft Corp,3,Monster Beverage Corp,Innovate Biopharmaceuticals Inc,"[
  ""Litigation""
]",7050
Microsoft Corp,3,Terraform Power Inc,Sunedison Inc,"[
  ""Bankruptcy""
]",37316
Microsoft Corp,2,Apple Inc,Johnson And Johnson Services Inc,"[
  ""Litigation""
]",1
Microsoft Corp,3,Albemarle Corp,Rockwood Holdings Inc,"[
  ""Litigation""
]",4400
Microsoft Corp,2,Taminco Corp,Basf Se,"[
  ""Breach""
]",48
Microsoft Corp,3,Corenergy Infrastructure Trust Inc,Energy Xxi Gulf Coast Inc,"[
  ""Litigation"",
  ""Bankruptcy""
]",22
Microsoft Corp,3,Federal National Mortgage Association,Federal Home Loan Mortgage Corp,"[
  ""Removal""
]",52399308
Alphabet Inc,3,Beigene Ltd,Amli Residential Properties Trust,"[
  ""Clinical Trial""
]",84
Microsoft Corp,3,Thomson Reuters Corp,Dentsu Inc,"[
  ""Investigation""
]",816
Alphabet Inc,3,Platform Specialty Products Corp,China Botanic Pharmaceutical,"[
  ""Investigation""
]",1954
Pepsico Inc,2,Apollo Global Management Llc,Umb Financial Corp,"[
  ""Breach""
]",1080
Alphabet Inc,3,Jazz Pharmaceuticals Plc,Stoke Therapeutics Inc,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",190
Jp Morgan Chase And Co,3,United States Steel Corp,Corelogic,"[
  ""Litigation""
]",82250
Jp Morgan Chase And Co,3,Venator Materials Plc,Minerals Technologies Inc,"[
  ""Removal""
]",650
Goldman Sachs Group Inc,3,Nasdaq Inc,Entasis Therapeutics Holdings Inc,"[
  ""Litigation""
]",516
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Momenta Pharmaceuticals Inc,"[
  ""Investigation""
]",1
Goldman Sachs Group Inc,3,American Airlines Group Inc,Qantas Airways,"[
  ""Bankruptcy Protection""
]",24426
Morgan Stanley International Holdings Inc,3,Pure Acquisition Corp,Founder Holdings Ltd,"[
  ""Bankruptcy""
]",60
Morgan Stanley International Holdings Inc,3,Broadcom Ltd,Marvell Technology Inc,"[
  ""Breach""
]",168
Morgan Stanley International Holdings Inc,3,Broadcom Ltd,Ii-Vi Inc,"[
  ""Litigation""
]",1686
Alphabet Inc,3,Hc2 Holdings Inc,Universal Travel Group,"[
  ""Investigation""
]",227
Jp Morgan Chase And Co,2,Visa Inc,Dr Pepper Snapple Group Inc,"[
  ""Fraud""
]",2541
Jp Morgan Chase And Co,3,Entergy Corp,Entergy New Orleans Inc,"[
  ""Reorganization""
]",14580
Jp Morgan Chase And Co,2,Thomson Reuters Corp,Centrais Electricas Brazil,"[
  ""Fraud""
]",1
Jp Morgan Chase And Co,2,Thomson Reuters Corp,Weibo Corp,"[
  ""Removal""
]",1
Alphabet Inc,3,Sabre Corp,Pinnacle Airlines Corp,"[
  ""Bankruptcy Protection""
]",58
Alphabet Inc,3,Mylan Nv,Hisamitsu Pharmaceutical Co Ltd,"[
  ""Research""
]",348
Microsoft Corp,3,Horizon Pharma Plc,Hyperion Therapeutics Inc,"[
  ""Clinical Trial""
]",833
Alphabet Inc,2,Google,Nokia Corp,"[
  ""Removal""
]",1
Jp Morgan Chase And Co,3,Columbia Sportswear Co,Fiserv Inc,"[
  ""Disruption""
]",254548
Jp Morgan Chase And Co,3,Baxter International Inc,Baxalta Inc,"[
  ""Litigation""
]",64518
Jp Morgan Chase And Co,3,Noble Energy Inc,Innerworkings Inc,"[
  ""Breach""
]",6489
Morgan Stanley International Holdings Inc,3,Glaxosmithkline Plc,Springworks Therapeutics Inc,"[
  ""Clinical Trial""
]",251
Goldman Sachs Group Inc,3,Twitter Inc,Facebook Inc,"[
  ""Removal""
]",3353220
Goldman Sachs Group Inc,3,Ii-Vi Inc,Alleghany Corp,"[
  ""Breach""
]",360
Goldman Sachs Group Inc,3,Bridge Bancorp Inc,58com Inc,"[
  ""Breach""
]",6230
Goldman Sachs Group Inc,3,Spectrum Pharmaceuticals Inc,Allergan Plc,"[
  ""Clinical Trial""
]",5160
Goldman Sachs Group Inc,1,Goldman Sachs Group Inc,Intercontinental Exchange,"[
  ""Investigation""
]",11904
Goldman Sachs Group Inc,3,Altimmune Inc,Siga Technologies Inc,"[
  ""Bankruptcy""
]",6774
Goldman Sachs Group Inc,3,Wsfs Financial Corp,Natural Health Trends Corp,"[
  ""Breach Of Contract""
]",72
Goldman Sachs Group Inc,3,Pedevco Corp,Blue Dolphin Energy Co,"[
  ""Bankruptcy""
]",9
Goldman Sachs Group Inc,3,New York And Company,Amazon Com Inc,"[
  ""Investigation""
]",46644780
Goldman Sachs Group Inc,3,Apple Inc,Delta Electronics Inc,"[
  ""Sanctions""
]",234
Morgan Stanley International Holdings Inc,3,Intercontinental Exchange,Seadrill Ltd,"[
  ""Bankruptcy""
]",2926
Goldman Sachs Group Inc,2,State Street Corp,Athersys Inc / New,"[
  ""Research""
]",1
Goldman Sachs Group Inc,3,Nanoviricides Inc,Biocryst Pharmaceuticals Inc,"[
  ""Clinical Trial""
]",192
Goldman Sachs Group Inc,3,Pfizer Inc,Icu Medical Inc/De,"[
  ""Litigation""
]",43740
Microsoft Corp,3,Google,Globant Sa,"[
  ""Disruption""
]",1000
Coca-Cola Company,3,Exact Sciences Corp,Guardant Health Inc,"[
  ""Clinical Trial""
]",1377
Goldman Sachs Group Inc,3,Fox Corporation,News Corp,"[
  ""Investigation""
]",777855
Jp Morgan Chase And Co,2,Thomson Reuters Corp,Icici Bank Ltd,"[
  ""Money Laundering""
]",1
Coca-Cola Company,3,Danaher Corp,Quidel Cp,"[
  ""Litigation""
]",2319
Coca-Cola Company,3,Vmware Inc,Bioscrip Inc,"[
  ""Breach Of Contract""
]",27596
Coca-Cola Company,3,Spectrum Pharmaceuticals Inc,Ies Holdings,"[
  ""Breach""
]",36
Coca-Cola Company,3,Equity Residential,Avalonbay Communities Inc,"[
  ""Litigation""
]",3948
Coca-Cola Company,3,Ryanair Hldgs Plc,Westjet Airlines Vtg,"[
  ""Investigation""
]",440
Coca-Cola Company,3,Intercept Pharmaceuticals Inc,Kadmon Holdings Llc,"[
  ""Clinical Trial""
]",32
Coca-Cola Company,3,Federal Home Loan Mortgage Corp,Countrywide Financial Corp,"[
  ""Fraud""
]",6774
Coca-Cola Company,3,Energy Fuels Inc,Ur-Energy Inc,"[
  ""Investigation""
]",670
Coca-Cola Company,3,Nasdaq Inc,Vivus Inc,"[
  ""Reorganization""
]",3957
Coca-Cola Company,3,Google,Criteo Ltd,"[
  ""Disruption""
]",948
Pepsico Inc,3,Dynatrace Inc,Solarwinds Inc,"[
  ""Investigation"",
  ""Investigation""
]",3960
Coca-Cola Company,3,Chesapeake Energy Corp,Shake Shack Inc,"[
  ""Bankruptcy""
]",5790
Pepsico Inc,3,Armstrong World Industries Inc,Armstrong Flooring Inc,"[
  ""Investigation""
]",345
Pepsico Inc,3,Fortress Biotech Inc,Navios Maritime Holdings Inc,"[
  ""Clinical Trial""
]",497
Pepsico Inc,3,Amazon Com Inc,Fedex Corp,"[
  ""Investigation""
]",151690
Pepsico Inc,3,Energy Fuels Inc,Ur-Energy Inc,"[
  ""Investigation"",
  ""Investigation"",
  ""Removal""
]",450
Pepsico Inc,3,Blueprint Medicines Corp,Stemline Therapeutics Inc,"[
  ""Clinical Trial""
]",40
Alphabet Inc,3,Rubicon Project Inc,Quotient Technology Inc,"[
  ""Removal"",
  ""Removal""
]",468
Microsoft Corp,2,Intercontinental Exchange,Huntington Ingalls Industries,"[
  ""Investigation""
]",1
Microsoft Corp,3,Credit Suisse Ag,Wirecard Ag,"[
  ""Accounting Fraud""
]",530800
Microsoft Corp,3,Bank Of America Corp,Countrywide Plc,"[
  ""Investigation"",
  ""Breach""
]",1316511
Microsoft Corp,3,Boise Inc,Greif Inc,"[
  ""Bankruptcy""
]",32
Pepsico Inc,3,Geron Co Ltd,Lixte Biotechnology Holdings Inc,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",30
Alphabet Inc,2,Intercontinental Exchange,Sandp Global Inc,"[
  ""Breach""
]",140247
Alphabet Inc,3,Bank Of America Corp,Countrywide Plc,"[
  ""Litigation""
]",2017326
Coca-Cola Company,2,Jp Morgan Chase And Co,Assured Guaranty Ltd,"[
  ""Breach Of Contract""
]",76080
Pepsico Inc,3,Comcast Corp A,Charter Communications Inc,"[
  ""Disruption""
]",128044
Microsoft Corp,3,Autodesk Inc,Ingram Micro Inc,"[
  ""Disruption""
]",2865
Microsoft Corp,2,Nasdaq Inc,Icad Inc,"[
  ""Breach""
]",1
Pepsico Inc,3,Equity Residential,Avalonbay Communities Inc,"[
  ""Litigation""
]",1374
Pepsico Inc,3,Enpro Industries Inc,Anchor Bancorp,"[
  ""Reorganization"",
  ""Litigation""
]",256
Microsoft Corp,3,Mosys Inc,Synopsys Inc,"[
  ""Breach""
]",30096
Pepsico Inc,3,Dreamworks Animation Llc,State Street Corp,"[
  ""Breach""
]",2415190
Alphabet Inc,3,Osmotica Pharmaceuticals Public Limited Company,Balchem Cp,"[
  ""Dispute""
]",48
Alphabet Inc,3,Apple Inc,Delta Electronics Inc,"[
  ""Sanctions""
]",168
Alphabet Inc,2,Intercontinental Exchange,Publicis Groupe,"[
  ""Reorganization""
]",1
Jp Morgan Chase And Co,3,Rosetta Stone Inc,Cambium Learning Group Inc,"[
  ""Breach""
]",2273
Jp Morgan Chase And Co,3,Exelon Corp,Astronics Corp,"[
  ""Litigation""
]",43040
Goldman Sachs Group Inc,3,Bank Of America Corp,Countrywide Financial Corp,"[
  ""Fraud""
]",6636
Goldman Sachs Group Inc,3,Nasdaq Inc,Camden National Corp,"[
  ""Fraud""
]",1032
Goldman Sachs Group Inc,3,Renault Sa,Air France Klm,"[
  ""Bankruptcy""
]",69210
Goldman Sachs Group Inc,3,Post Holdings Inc,Jandj Snack Foods Corp,"[
  ""Removal""
]",24
Goldman Sachs Group Inc,2,State Street Corp,Transenterix Inc,"[
  ""Research""
]",1
Goldman Sachs Group Inc,2,Intercontinental Exchange,Canntrust Holdings Inc,"[
  ""Investigation""
]",1
Microsoft Corp,2,Apple Inc,Ii-Vi Inc,"[
  ""Litigation""
]",1
Jp Morgan Chase And Co,3,Booz Allen Hamilton Holding Corp,Echo Global Logistics Inc,"[
  ""Fraud"",
  ""Fraud""
]",576
Alphabet Inc,3,Geron Co Ltd,Constellation Pharmaceuticals Inc,"[
  ""Investigation""
]",251
Morgan Stanley International Holdings Inc,3,Mohawk Industries Inc,Galera Therapeutics Inc,"[
  ""Clinical Trial""
]",300
Microsoft Corp,2,Alaska Air Group,Easyjet Plc,"[
  ""Investigation""
]",1
Jp Morgan Chase And Co,3,Mgm Resorts,Oci Partners Lp,"[
  ""Breach Of Contract""
]",164
Jp Morgan Chase And Co,3,Cypress Semiconductor Corp /De/,Gsi Technology Inc,"[
  ""Litigation"",
  ""Litigation""
]",362
Jp Morgan Chase And Co,3,Activision Blizzard,Biomerica Inc,"[
  ""Investigation""
]",3944
Jp Morgan Chase And Co,3,Barclays Plc,Acasti Pharma,"[
  ""Research""
]",1035
Jp Morgan Chase And Co,3,Nike Inc,Celadon Group Inc,"[
  ""Bankruptcy""
]",252
Jp Morgan Chase And Co,3,Gilead Sciences Inc,Hookipa Pharma Inc,"[
  ""Clinical Trial""
]",346
Jp Morgan Chase And Co,3,Firstenergy Corp,Mariner Energy Inc,"[
  ""Litigation""
]",1853
Goldman Sachs Group Inc,3,Ccur Holdings Inc,Vecima Networks Inc,"[
  ""Fraud""
]",380
Morgan Stanley International Holdings Inc,2,Intercontinental Exchange,Lilis Energy Inc,"[
  ""Bankruptcy""
]",1
Goldman Sachs Group Inc,2,Us Bancorp,Uber Technologies Inc,"[
  ""Ransomware Attack""
]",1576
Goldman Sachs Group Inc,3,Grubhub Inc,Gamestop Corp,"[
  ""Bankruptcy""
]",39300
Jp Morgan Chase And Co,3,Waters Corp,Intertek Group Plc,"[
  ""Investigation""
]",210
Jp Morgan Chase And Co,3,Sears Holdings Corp,Kmart Holding Corp,"[
  ""Investigation""
]",126
Jp Morgan Chase And Co,2,Waddell And Reed Financial Inc,Universal Display,"[
  ""Research""
]",1
Jp Morgan Chase And Co,2,Visa Inc,Global Payments Inc,"[
  ""Breach""
]",1
Jp Morgan Chase And Co,1,Jp Morgan Chase And Co,Assured Guaranty Ltd,"[
  ""Breach Of Contract"",
  ""Breach Of Contract""
]",5100
Jp Morgan Chase And Co,2,Moodys Corp /De/,Equifax Inc,"[
  ""Data Breach""
]",2281
Morgan Stanley International Holdings Inc,3,Nasdaq Inc,Heat Biologics Inc,"[
  ""Clinical Trial""
]",5445
Goldman Sachs Group Inc,3,Dynatrace Inc,Compuware Corp,"[
  ""Reorganization""
]",219
Goldman Sachs Group Inc,3,Mcewen Mining Inc,Antofagasta Plc Ord,"[
  ""Litigation""
]",126
Goldman Sachs Group Inc,3,Ubs Group Ag,Adamis Pharmaceuticals Corp,"[
  ""Research""
]",16805
Goldman Sachs Group Inc,3,J2 Global Inc,Open Text Corp,"[
  ""Litigation""
]",710
Jp Morgan Chase And Co,3,Johnson And Johnson Services Inc,Imerys Sa,"[
  ""Reorganization""
]",192
Microsoft Corp,2,Nasdaq Inc,Blackrock New York Muni Trust Inc,"[
  ""Investigation""
]",288
Alphabet Inc,3,Gfi Group Inc,Bgc Partners Inc,"[
  ""Breach""
]",84354
Jp Morgan Chase And Co,2,Intercontinental Exchange,Vaxart Inc,"[
  ""Fraud""
]",1
Jp Morgan Chase And Co,3,Chevron Corp,Rice Midstream Partners Lp,"[
  ""Investigation""
]",880
Coca-Cola Company,3,Oppenheimer Holdings Inc,Adaptive Medias Inc,"[
  ""Breach Of Contract""
]",240
Coca-Cola Company,3,Nasdaq Inc,Cue Biopharma Inc,"[
  ""Clinical Trial""
]",160
Coca-Cola Company,3,Philip Morris International Inc,Sun Biopharma Inc,"[
  ""Clinical Trial""
]",234
Coca-Cola Company,3,Airbus,Pt Bnk Cent Asia,"[
  ""Investigation""
]",2355
Coca-Cola Company,3,Cnx Resources Corp,Cnx Gas Corp,"[
  ""Breach""
]",3082
Pepsico Inc,3,Micron Technology Inc,Rambus Inc,"[
  ""Litigation""
]",44300
Coca-Cola Company,3,Hms Holdings Corp,Inovalon Holdings Inc,"[
  ""Removal""
]",240
Pepsico Inc,2,Ltc Properties Inc,Brookdale Senior Living Inc,"[
  ""Bankruptcy"",
  ""Bankruptcy""
]",110
Pepsico Inc,3,Amarin Corp Plc,Catabasis Pharmaceuticals Inc,"[
  ""Clinical Trial"",
  ""Clinical Trial"",
  ""Clinical Trial""
]",147
Pepsico Inc,3,Sunpower Corp,Solarcity Corp,"[
  ""Litigation""
]",10
Pepsico Inc,3,Genie Energy Ltd,Idt Corp,"[
  ""Breach""
]",3876
Pepsico Inc,3,Hms Holdings Corp,Tivity Health,"[
  ""Removal""
]",27
Pepsico Inc,3,Alnylam Pharmaceuticals Inc,Eidos Therapeutics Inc,"[
  ""Clinical Trial"",
  ""Clinical Trial""
]",228
Microsoft Corp,3,Nasdaq Inc,Skandinaviska Enskil,"[
  ""Removal""
]",10080
Alphabet Inc,3,Tyson Foods Inc,Blackrock New York Muni Trust Inc,"[
  ""Litigation"",
  ""Litigation""
]",14988
Alphabet Inc,2,Google,Uber Technologies Inc,"[
  ""Investigation""
]",1
Microsoft Corp,2,Apple Inc,Nokia Corp,"[
  ""Dispute""
]",1
Pepsico Inc,3,Sunpower Corp,Au Optronics Corp,"[
  ""Breach""
]",650
Alphabet Inc,3,Ally Financial,Nordic American Offshore Ltd,"[
  ""Investigation""
]",336
Alphabet Inc,2,Google,Nabriva Therapeutics Plc,"[
  ""Research""
]",1
Microsoft Corp,3,Allergan Plc,Warner Chilcott Plc,"[
  ""Litigation""
]",52998
Alphabet Inc,3,Apollo Global Management Llc,Wsfs Financial Corp,"[
  ""Breach""
]",540
Microsoft Corp,3,Amc Entertainment Inc,Cinemark Holdings Inc,"[
  ""Disruption""
]",604
Pepsico Inc,3,Biodelivery Sciences International Inc,Aquestive Therapeutics Inc,"[
  ""Litigation""
]",287
Pepsico Inc,3,Veeva Systems Inc,Medidata Solutions Gmbh,"[
  ""Litigation"",
  ""Litigation""
]",300
Microsoft Corp,3,Dxc Technology Company,Kemper Corp,"[
  ""Breach Of Contract""
]",15576
